subject,name
"Consultoria e assessoramento jurídico aos órgãos municipais","Procuradoria Geral"
"Construção irregular","Procuradoria Geral"
Assédio,"Secretaria de Comunicação Social, Relações Públicas, Trabalho, Emprego e Renda"
"Não há dados","Secretaria de Comunicação Social, Relações Públicas, Trabalho, Emprego e Renda"
Assédio,"Secretaria Municipal de Administração"
"Levantamento de depósito","Secretaria Municipal de Administração"
Atendimento,"Secretaria Municipal de Administração"
"Reconhecimento de tempo de serviço / triênios","Secretaria Municipal de Administração"
"Demora, grosseria ou falta de atendimento","Secretaria Municipal de Administração"
,"Secretaria Municipal de Administração"
Atendimento,"Secretaria Municipal de Assistência Social e Direitos Humanos"
"Cadastro Único (CadÚnico)","Secretaria Municipal de Assistência Social e Direitos Humanos"
"Demora ou dificuldade na concessão de benefícios sociais","Secretaria Municipal de Assistência Social e Direitos Humanos"
Funcionário,"Secretaria Municipal de Assistência Social e Direitos Humanos"
"Benefício de Prestação Continuada (BPC/LOAS)","Secretaria Municipal de Assistência Social e Direitos Humanos"
"Adaptação de calçadas e vias públicas","Secretaria Municipal de Assistência Social e Direitos Humanos"
"Demora, grosseria ou falta de atendimento","Secretaria Municipal de Assistência Social e Direitos Humanos"
"Não há dados","Secretaria Municipal de Assistência Social e Direitos Humanos"
"Programas e políticas de fomento à cultura","Secretaria Municipal de Cultura e Turismo"
"Conservação do patrimônio histórico e cultural","Secretaria Municipal de Cultura e Turismo"
"Eventos culturais (organização, acesso, cancelamentos)","Secretaria Municipal de Cultura e Turismo"
"Projeto institucional","Secretaria Municipal de Cultura e Turismo"
Assédio,"Secretaria Municipal de Educação"
"Falta de mediadores","Secretaria Municipal de Educação"
Atendimento,"Secretaria Municipal de Educação"
"Equipe multidisciplinar (psicólogo, terapeuta, fisioterapeuta, etc.)","Secretaria Municipal de Educação"
"Conduta irregular de funcionário","Secretaria Municipal de Educação"
"Falta de professores","Secretaria Municipal de Educação"
,"Secretaria Municipal de Educação"
"Gestão escolar","Secretaria Municipal de Educação"
"Transporte escolar","Secretaria Municipal de Educação"
"Violência ou bullying nas escolas","Secretaria Municipal de Educação"
"Direitos e programas sociais","Secretaria Municipal de Educação"
"Matrícula escolar","Secretaria Municipal de Educação"
"Inclusão e acessibilidade (alunos com deficiência)","Secretaria Municipal de Educação"
Funcionário,"Secretaria Municipal de Educação"
"Uso irregular de áreas destinadas ao esporte e lazer","Secretaria Municipal de Esporte e Lazer"
"Programas de esporte e lazer para jovens e adultos","Secretaria Municipal de Esporte e Lazer"
"Inclusão e acessibilidade em programas esportivos","Secretaria Municipal de Esporte e Lazer"
"Implementação de projetos de esporte e lazer","Secretaria Municipal de Esporte e Lazer"
"Acesso a espaços esportivos e de lazer","Secretaria Municipal de Esporte e Lazer"
"Projetos comunitários e sociais de esporte e lazer","Secretaria Municipal de Esporte e Lazer"
"Incentivo ao esporte amador","Secretaria Municipal de Esporte e Lazer"
Alvará,"Secretaria Municipal de Fazenda"
"Emissão de guias de recolhimento (taxas, ISS, IPTU)","Secretaria Municipal de Fazenda"
"Comércio irregular","Secretaria Municipal de Fazenda"
"Não há dados","Secretaria Municipal de Fazenda"
"Desmatamento irregular","Secretaria Municipal de Fazenda"
"Nota Fiscal de Serviços","Secretaria Municipal de Fazenda"
"Irregularidades em MEI ou microempresas","Secretaria Municipal de Fazenda"
Atendimento,"Secretaria Municipal de Fazenda"
"Fiscalização de obras irregulares","Secretaria Municipal de Fazenda"
Funcionário,"Secretaria Municipal de Fazenda"
"Tributos municipais (ITBI e IPTU) e dívida ativa","Secretaria Municipal de Fazenda"
"Alvará de funcionamento (emissão, renovação ou cancelamento)","Secretaria Municipal de Fazenda"
"Certidão Negativa de Débitos (CND municipal)","Secretaria Municipal de Fazenda"
"Informação e Orientação pública","Secretaria Municipal de Fazenda"
"Transferência de titularidade","Secretaria Municipal de Fazenda"
"Fiscalização comercial e industrial","Secretaria Municipal de Fazenda"
"Conduta irregular de funcionário","Secretaria Municipal de Fazenda"
"Fiscalização de atividades comerciais","Secretaria Municipal de Fazenda"
"Demora, grosseria ou falta de atendimento","Secretaria Municipal de Fazenda"
"Regularização fundiária e registro de imóveis","Secretaria Municipal de Fazenda"
"Encerramento de empresas (baixa ou cancelamento)","Secretaria Municipal de Fazenda"
"Atendimento aos empresários","Secretaria Municipal de Fazenda"
"Fiscalização de feiras e ambulantes","Secretaria Municipal de Fazenda"
"Lançamento e cobrança do ISS (Imposto sobre Serviços)","Secretaria Municipal de Fazenda"
"Isenção ou anistia tributária","Secretaria Municipal de Fazenda"
"Estrutura, limpeza e materiais das unidades","Secretaria Municipal de Fazenda"
Funcionário,"Secretaria Municipal de Governo"
Atendimento,"Secretaria Municipal de Governo"
"Planejamento estratégico do executivo municipal","Secretaria Municipal de Governo"
"Concessões públicas municipais","Secretaria Municipal de Governo"
"Concursos Públicos","Secretaria Municipal de Governo"
"Demora, grosseria ou falta de atendimento","Secretaria Municipal de Governo"
"Abrigos e centros de acolhimento","Secretaria Municipal de Governo"
"Fiscalização de serviços terceirizados","Secretaria Municipal de Governo"
Funcionário,"Secretaria Municipal de Meio Ambiente"
"Poluição Ambiental (Ar, Solo, Água e Som)","Secretaria Municipal de Meio Ambiente"
"Poda e remoção de árvore","Secretaria Municipal de Meio Ambiente"
"Fiscalização de licenciamentos ambientais","Secretaria Municipal de Meio Ambiente"
"Coleta seletiva e reciclagem","Secretaria Municipal de Meio Ambiente"
"Animais silvestres em áreas urbanas","Secretaria Municipal de Meio Ambiente"
Atendimento,"Secretaria Municipal de Meio Ambiente"
Apicultura,"Secretaria Municipal de Meio Ambiente"
"Bueiros, rios, valões e redes de esgotos","Secretaria Municipal de Meio Ambiente"
"Áreas de preservação urbana","Secretaria Municipal de Meio Ambiente"
"Queimadas e resíduos orgânicos","Secretaria Municipal de Meio Ambiente"
"Ruídos de obras e transporte","Secretaria Municipal de Meio Ambiente"
"Monitoramento de qualidade do ar","Secretaria Municipal de Meio Ambiente"
"Estrutura, limpeza e materiais da unidade","Secretaria Municipal de Meio Ambiente"
"Descarte irregular de resíduos","Secretaria Municipal de Meio Ambiente"
"Demora, grosseria ou falta de atendimento","Secretaria Municipal de Meio Ambiente"
Assédio,"Secretaria Municipal de Meio Ambiente"
"Parques e áreas verdes públicas","Secretaria Municipal de Meio Ambiente"
Outros,"Secretaria Municipal de Meio Ambiente"
"Conduta irregular de funcionário","Secretaria Municipal de Meio Ambiente"
"Comércio irregular","Secretaria Municipal de Meio Ambiente"
"Desmatamento irregular","Secretaria Municipal de Meio Ambiente"
"Fiscalização legal de poluição sonora","Secretaria Municipal de Meio Ambiente"
,"Secretaria Municipal de Meio Ambiente"
"Regularização de terras e uso do solo rural","Secretaria Municipal de Meio Ambiente"
"Propriedade abandonada (terreno, casa, galpão e prédio)","Secretaria Municipal de Meio Ambiente"
"Educação Ambiental","Secretaria Municipal de Meio Ambiente"
"Conservação de calçadas e passeios públicos","Secretaria Municipal de Meio Ambiente"
"Direitos e acesso a programas sociais","Secretaria Municipal de Meio Ambiente"
"Poluição por indústrias","Secretaria Municipal de Meio Ambiente"
"Fiscalização de comércio de animais silvestres","Secretaria Municipal de Meio Ambiente"
"Limpeza urbana e retirada de entulho","Secretaria Municipal de Obras e Agricultura"
Funcionário,"Secretaria Municipal de Obras e Agricultura"
"Capina e roçada urbana","Secretaria Municipal de Obras e Agricultura"
"Revitalização de áreas degradadas","Secretaria Municipal de Obras e Agricultura"
"Bueiros, rios, valões e redes de esgotos","Secretaria Municipal de Obras e Agricultura"
"Asfaltamento e pavimentação","Secretaria Municipal de Obras e Agricultura"
"Manutenção de praças e parques","Secretaria Municipal de Obras e Agricultura"
